competencia,percentual,fator
2020-01,0.09,1.0009
2020-02,-0.04,0.9996
2020-03,1.24,1.0124
2020-04,2.23,1.0223
2020-05,0.28,1.0028
2020-06,1.56,1.0156
2020-07,2.23,1.0223
2020-08,2.74,1.0274
2020-09,4.34,1.0434
2020-10,3.22,1.0322
2020-11,3.28,1.0328
2020-12,0.96,1.0096
2021-01,2.58,1.0258
2021-02,2.53,1.0253
2021-03,2.94,1.0294
2021-04,1.51,1.0151
2021-05,4.10,1.0410
2021-06,0.60,1.0060
2021-07,0.78,1.0078
2021-08,0.66,1.0066
2021-09,-0.64,0.9936
2021-10,0.64,1.0064
2021-11,0.02,1.0002
2021-12,-0.12,0.9988
2022-01,1.82,1.0182
2022-02,1.98,1.0198
2022-03,1.74,1.0174
2022-04,1.41,1.0141
2022-05,-1.35,0.9865
2022-06,0.59,1.0059
2022-07,-0.99,0.9901
2022-08,-0.70,0.9930
2022-09,-0.95,0.9905
2022-10,-0.97,0.9903
2022-11,-0.56,0.9944
2022-12,0.31,1.0031
2023-01,1.37,1.0137
2023-02,-0.06,0.9994
2023-03,0.90,1.0090
2023-04,2.30,1.0230
2023-05,-1.84,0.9816
2023-06,-1.93,0.9807
2023-07,-0.72,0.9928
2023-08,-0.14,0.9986
2023-09,0.37,1.0037
2023-10,0.50,1.0050
2023-11,0.59,1.0059
2023-12,0.74,1.0074
2024-01,0.07,1.0007
2024-02,-0.52,0.9948
2024-03,-1.18,0.9882
2024-04,-0.08,0.9992
2024-05,-0.27,0.9973
2024-06,1.52,1.0152
2024-07,0.61,1.0061
2024-08,0.29,1.0029
2024-09,-0.54,0.9946
2024-10,-1.02,0.9898
2024-11,-0.35,0.9965
2024-12,0.60,1.0060
2025-01,1.10,1.0110
2025-02,-0.20,0.9980
2025-03,0.80,1.0080
2025-04,1.90,1.0190
2025-05,-1.50,0.9850
2025-06,-1.70,0.9830
