competencia,percentual,fator
2020-01,0.19,1.0019
2020-02,0.17,1.0017
2020-03,0.18,1.0018
2020-04,-0.23,0.9977
2020-05,-0.25,0.9975
2020-06,0.30,1.0030
2020-07,0.44,1.0044
2020-08,0.36,1.0036
2020-09,0.87,1.0087
2020-10,0.89,1.0089
2020-11,0.95,1.0095
2020-12,1.46,1.0146
2021-01,0.27,1.0027
2021-02,0.82,1.0082
2021-03,0.86,1.0086
2021-04,0.38,1.0038
2021-05,0.96,1.0096
2021-06,0.60,1.0060
2021-07,1.02,1.0102
2021-08,0.88,1.0088
2021-09,1.20,1.0120
2021-10,1.16,1.0116
2021-11,0.84,1.0084
2021-12,0.73,1.0073
2022-01,0.67,1.0067
2022-02,1.00,1.0100
2022-03,1.71,1.0171
2022-04,1.04,1.0104
2022-05,0.45,1.0045
2022-06,0.62,1.0062
2022-07,-0.60,0.9940
2022-08,-0.31,0.9969
2022-09,-0.32,0.9968
2022-10,0.47,1.0047
2022-11,0.38,1.0038
2022-12,0.69,1.0069
2023-01,0.46,1.0046
2023-02,0.77,1.0077
2023-03,0.64,1.0064
2023-04,0.53,1.0053
2023-05,0.36,1.0036
2023-06,-0.10,0.9990
2023-07,-0.09,0.9991
2023-08,0.20,1.0020
2023-09,0.11,1.0011
2023-10,0.12,1.0012
2023-11,0.10,1.0010
2023-12,0.55,1.0055
2024-01,0.57,1.0057
2024-02,0.81,1.0081
2024-03,0.19,1.0019
2024-04,0.37,1.0037
2024-05,0.46,1.0046
2024-06,0.25,1.0025
2024-07,0.30,1.0030
2024-08,0.28,1.0028
2024-09,0.40,1.0040
2024-10,0.50,1.0050
2024-11,0.55,1.0055
2024-12,0.70,1.0070
2025-01,0.28,1.0028
2025-02,0.40,1.0040
2025-03,0.32,1.0032
2025-04,0.25,1.0025
2025-05,0.28,1.0028
2025-06,0.20,1.0020
