competencia,percentual,fator
2020-01,0.21,1.0021
2020-02,0.25,1.0025
2020-03,0.07,1.0007
2020-04,-0.31,0.9969
2020-05,-0.38,0.9962
2020-06,0.26,1.0026
2020-07,0.36,1.0036
2020-08,0.24,1.0024
2020-09,0.64,1.0064
2020-10,0.86,1.0086
2020-11,0.89,1.0089
2020-12,1.35,1.0135
2021-01,0.25,1.0025
2021-02,0.86,1.0086
2021-03,0.93,1.0093
2021-04,0.31,1.0031
2021-05,0.83,1.0083
2021-06,0.53,1.0053
2021-07,0.96,1.0096
2021-08,0.87,1.0087
2021-09,1.16,1.0116
2021-10,1.25,1.0125
2021-11,0.95,1.0095
2021-12,0.73,1.0073
2022-01,0.54,1.0054
2022-02,1.01,1.0101
2022-03,1.62,1.0162
2022-04,1.06,1.0106
2022-05,0.47,1.0047
2022-06,0.67,1.0067
2022-07,-0.68,0.9932
2022-08,-0.36,0.9964
2022-09,-0.29,0.9971
2022-10,0.59,1.0059
2022-11,0.41,1.0041
2022-12,0.62,1.0062
2023-01,0.53,1.0053
2023-02,0.84,1.0084
2023-03,0.71,1.0071
2023-04,0.61,1.0061
2023-05,0.23,1.0023
2023-06,-0.08,0.9992
2023-07,0.12,1.0012
2023-08,0.23,1.0023
2023-09,0.26,1.0026
2023-10,0.24,1.0024
2023-11,0.28,1.0028
2023-12,0.56,1.0056
2024-01,0.42,1.0042
2024-02,0.83,1.0083
2024-03,0.16,1.0016
2024-04,0.38,1.0038
2024-05,0.46,1.0046
2024-06,0.21,1.0021
2024-07,0.38,1.0038
2024-08,0.25,1.0025
2024-09,0.44,1.0044
2024-10,0.56,1.0056
2024-11,0.62,1.0062
2024-12,0.78,1.0078
2025-01,0.31,1.0031
2025-02,0.45,1.0045
2025-03,0.36,1.0036
2025-04,0.28,1.0028
2025-05,0.30,1.0030
2025-06,0.25,1.0025
