competencia,percentual,fator
2020-01,0.38,1.0038
2020-02,0.29,1.0029
2020-03,0.34,1.0034
2020-04,0.28,1.0028
2020-05,0.24,1.0024
2020-06,0.17,1.0017
2020-07,0.19,1.0019
2020-08,0.16,1.0016
2020-09,0.16,1.0016
2020-10,0.16,1.0016
2020-11,0.15,1.0015
2020-12,0.16,1.0016
2021-01,0.15,1.0015
2021-02,0.13,1.0013
2021-03,0.20,1.0020
2021-04,0.21,1.0021
2021-05,0.27,1.0027
2021-06,0.31,1.0031
2021-07,0.36,1.0036
2021-08,0.43,1.0043
2021-09,0.44,1.0044
2021-10,0.49,1.0049
2021-11,0.59,1.0059
2021-12,0.77,1.0077
2022-01,0.73,1.0073
2022-02,0.76,1.0076
2022-03,0.84,1.0084
2022-04,0.83,1.0083
2022-05,1.03,1.0103
2022-06,1.02,1.0102
2022-07,1.03,1.0103
2022-08,1.17,1.0117
2022-09,1.07,1.0107
2022-10,1.02,1.0102
2022-11,1.02,1.0102
2022-12,1.12,1.0112
2023-01,1.12,1.0112
2023-02,0.92,1.0092
2023-03,1.17,1.0117
2023-04,0.92,1.0092
2023-05,1.12,1.0112
2023-06,1.07,1.0107
2023-07,1.07,1.0107
2023-08,1.14,1.0114
2023-09,0.97,1.0097
2023-10,1.00,1.0100
2023-11,0.92,1.0092
2023-12,0.89,1.0089
2024-01,0.97,1.0097
2024-02,0.80,1.0080
2024-03,0.83,1.0083
2024-04,0.89,1.0089
2024-05,0.83,1.0083
2024-06,0.96,1.0096
2024-07,0.91,1.0091
2024-08,0.87,1.0087
2024-09,0.86,1.0086
2024-10,0.91,1.0091
2024-11,0.97,1.0097
2024-12,0.96,1.0096
2025-01,0.86,1.0086
2025-02,0.80,1.0080
2025-03,0.83,1.0083
2025-04,0.89,1.0089
2025-05,0.83,1.0083
2025-06,0.96,1.0096
