competencia,percentual,fator
2022-12,1.00,1.0100
2023-01,1.00,1.0100
2023-02,1.00,1.0100
2023-03,1.00,1.0100
2023-04,1.00,1.0100
2023-05,1.00,1.0100
2023-06,1.00,1.0100
2023-07,1.00,1.0100
2023-08,1.00,1.0100
2023-09,1.00,1.0100
2023-10,1.00,1.0100
2023-11,1.00,1.0100
2023-12,1.00,1.0100
2024-01,1.00,1.0100
2024-02,1.00,1.0100
2024-03,1.00,1.0100
2024-04,1.00,1.0100
2024-05,1.00,1.0100
2024-06,1.00,1.0100
2024-07,1.00,1.0100
2024-08,1.00,1.0100
2024-09,1.00,1.0100
2024-10,1.00,1.0100
2024-11,1.00,1.0100
2024-12,1.00,1.0100
2025-01,1.00,1.0100
2025-02,1.00,1.0100
2025-03,1.00,1.0100
2025-04,1.00,1.0100
2025-05,1.00,1.0100
2025-06,1.00,1.0100
